election_period,meeting,sitting,agenda,filename
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030410481102.txt
ps2013,42,1,0,samples/sample_audio_statistics_output/2016/03/01/2016030113581412.txt
ps2013,42,9,17,samples/sample_audio_statistics_output/2016/03/22/2016032215281542.txt
ps2013,42,9,202,samples/sample_audio_statistics_output/2016/03/22/2016032215581612.txt
ps2013,42,7,208,samples/sample_audio_statistics_output/2016/03/10/2016031010481102.txt
ps2013,42,2,124,samples/sample_audio_statistics_output/2016/03/02/2016030218281842.txt
ps2013,42,2,149,samples/sample_audio_statistics_output/2016/03/02/2016030209280942.txt
ps2013,42,8,18,samples/sample_audio_statistics_output/2016/03/11/2016031110281042.txt
ps2013,42,7,133,samples/sample_audio_statistics_output/2016/03/10/2016031009380952.txt
ps2013,42,8,18,samples/sample_audio_statistics_output/2016/03/11/2016031109581012.txt
ps2013,42,8,67,samples/sample_audio_statistics_output/2016/03/11/2016031113081322.txt
ps2013,42,2,149,samples/sample_audio_statistics_output/2016/03/02/2016030210281042.txt
ps2013,42,7,212,samples/sample_audio_statistics_output/2016/03/10/2016031011281142.txt
ps2013,42,6,163,samples/sample_audio_statistics_output/2016/03/09/2016030909180932.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030410081022.txt
ps2013,42,8,152,samples/sample_audio_statistics_output/2016/03/11/2016031109080922.txt
ps2013,42,8,166,samples/sample_audio_statistics_output/2016/03/11/2016031109180932.txt
ps2013,42,8,0,samples/sample_audio_statistics_output/2016/03/11/2016031108580912.txt
ps2013,42,3,224,samples/sample_audio_statistics_output/2016/03/03/2016030314481502.txt
ps2017,2,2,31,samples/sample_audio_statistics_output/2017/11/30/2017113009380952.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030413081322.txt
ps2017,2,1,12,samples/sample_audio_statistics_output/2017/11/28/2017112818381852.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030412281242.txt
ps2017,2,1,14,samples/sample_audio_statistics_output/2017/11/28/2017112818581912.txt
ps2013,42,2,62,samples/sample_audio_statistics_output/2016/03/02/2016030217381752.txt
ps2013,42,8,67,samples/sample_audio_statistics_output/2016/03/11/2016031111381152.txt
ps2013,42,6,43,samples/sample_audio_statistics_output/2016/03/09/2016030918481902.txt
ps2013,42,9,202,samples/sample_audio_statistics_output/2016/03/22/2016032218281842.txt
ps2013,42,8,18,samples/sample_audio_statistics_output/2016/03/11/2016031110181032.txt
ps2013,42,6,40,samples/sample_audio_statistics_output/2016/03/09/2016030917481802.txt
ps2013,42,5,15,samples/sample_audio_statistics_output/2016/03/08/2016030817581812.txt
ps2013,42,2,149,samples/sample_audio_statistics_output/2016/03/02/2016030210081022.txt
ps2017,2,2,18,samples/sample_audio_statistics_output/2017/11/30/2017113009280942.txt
ps2013,42,4,163,samples/sample_audio_statistics_output/2016/03/04/2016030413281342.txt
ps2013,42,7,206,samples/sample_audio_statistics_output/2016/03/10/2016031010181032.txt
ps2013,42,5,15,samples/sample_audio_statistics_output/2016/03/08/2016030818281842.txt
ps2013,42,10,173,samples/sample_audio_statistics_output/2016/03/23/2016032312181232.txt
ps2013,42,5,0,samples/sample_audio_statistics_output/2016/03/08/2016030814481502.txt
ps2013,42,6,51,samples/sample_audio_statistics_output/2016/03/09/2016030916081622.txt
ps2013,42,9,221,samples/sample_audio_statistics_output/2016/03/22/2016032214381452.txt
ps2013,42,1,7,samples/sample_audio_statistics_output/2016/03/01/2016030117181732.txt
ps2013,42,2,31,samples/sample_audio_statistics_output/2016/03/02/2016030214581512.txt
ps2013,42,2,31,samples/sample_audio_statistics_output/2016/03/02/2016030214381452.txt
ps2013,42,7,224,samples/sample_audio_statistics_output/2016/03/10/2016031015081522.txt
ps2013,42,2,31,samples/sample_audio_statistics_output/2016/03/02/2016030215181532.txt
